event_id;booking_id;registration_type;email;registered_date;attendance;liste;køn
3668487;2695048;in-person;4a1bf55966c25b852025772d4e59f9e9;2021-02-03T16:27:28+01:00;yes;deltager;NA
3668487;2695050;in-person;af4945717954a93660b0b725d19b3769;2021-02-04T07:56:10+01:00;yes;deltager;NA
3661506;2626626;in-person;a7bd8940763e024c74bc790d34360267;2021-01-07T14:52:24+01:00;-;deltager;NA
3661506;2628627;in-person;7e6152a20da4fd19fca701b4689fd479;2021-01-08T14:48:51+01:00;-;deltager;NA
3661506;2629114;in-person;5d4a73d5c9f1f4f3a7da2638d9e8615c;2021-01-08T17:42:53+01:00;-;deltager;NA
3661506;2629226;in-person;50ca2a8fac33725ea19d2bcdb1e336e3;2021-01-08T18:56:04+01:00;-;deltager;NA
3661506;2629498;in-person;f2475cc135499c4e93cda381fcf40905;2021-01-08T23:03:19+01:00;-;deltager;NA
3661506;2629698;in-person;0181a751fe148168957b1913391e1a53;2021-01-09T11:08:41+01:00;-;deltager;NA
3661506;2630177;in-person;9fdc42eff107aa6a390ce31f8a586953;2021-01-09T20:21:02+01:00;-;deltager;NA
3661506;2630178;in-person;6822f6cff1cf6d0a3ac758616c4a608e;2021-01-09T20:22:24+01:00;-;deltager;NA
3661506;2630471;in-person;ddcaf475dcc5f7b52acf41a542f71818;2021-01-10T10:45:48+01:00;-;deltager;NA
3661506;2630481;in-person;e56382e7f331cfc6fd97303c06e9f409;2021-01-10T11:25:16+01:00;-;deltager;NA
3661506;2630483;in-person;23257a9010562a9ede39928e1107b6d7;2021-01-10T11:25:56+01:00;-;deltager;NA
3661506;2631026;in-person;963b777835f412df1940954485abcb88;2021-01-10T19:49:25+01:00;-;deltager;NA
3661506;2631577;in-person;5bc0561864776b96281fe7476d4b7c94;2021-01-11T10:24:50+01:00;-;deltager;NA
3661506;2632303;in-person;b48abc1ae467acc6517fef6fa3795494;2021-01-11T13:27:51+01:00;-;deltager;NA
3661506;2632311;in-person;6f77ccf024091e199714bf15278365e7;2021-01-11T13:29:21+01:00;-;deltager;NA
3661506;2632365;in-person;18b305e128d2943456b5b9e9b4c17f8c;2021-01-11T13:37:42+01:00;-;deltager;NA
3661506;2634116;in-person;fc573fa8dbf012aa19f2fc580b990f64;2021-01-12T10:30:45+01:00;-;deltager;NA
3661506;2634222;in-person;37ee993defbd8f3b96ab2f3e181e6efa;2021-01-12T11:10:31+01:00;-;deltager;NA
3661506;2638845;in-person;64d7b14545b416dbd82cbd6199d5b24f;2021-01-14T08:51:36+01:00;-;deltager;NA
3661506;2683285;in-person;40c701c42eead3834958c346b10c162c;2021-01-14T13:59:56+01:00;-;deltager;NA
3661506;2688393;in-person;3429b9b5cec74db4805791fed06bfb76;2021-01-20T12:33:10+01:00;-;deltager;NA
3661506;2692302;in-person;6d44637db7c3730672c2c6563e63c2a6;2021-01-21T14:02:45+01:00;-;deltager;NA
3661506;2692303;in-person;465b93895ce7b325f7c94cc85da61e8c;2021-01-21T20:08:00+01:00;-;deltager;NA
3661506;2692304;in-person;bc3e115b2f69bd9a9cdb5a0f7e4a1e27;2021-01-24T12:35:53+01:00;-;deltager;NA
3661506;2692305;in-person;849498695a5c9a161c06ef81226905ee;2021-01-25T15:10:20+01:00;-;deltager;NA
3661506;2692306;in-person;3557541c1ffe940af5903d38d57a39ac;2021-01-29T13:20:28+01:00;-;deltager;NA
3661506;2692307;in-person;6416789f64a914623776987c6826df52;2021-02-01T09:45:22+01:00;-;deltager;NA
3661506;2692380;in-person;54885972534fa861f447d53b53b2455b;2021-02-03T13:24:34+01:00;-;deltager;NA
3661506;2694470;in-person;ee36317f4d9d9c0334f220f6455cc091;2021-02-04T09:56:22+01:00;-;deltager;NA
3661506;2697418;in-person;41a495c0b80280b9e5341da410dc200f;2021-02-05T11:10:06+01:00;-;deltager;NA
3661506;2698162;in-person;70108ade903183080e4d57a499957201;2021-02-05T14:13:53+01:00;-;deltager;NA
3661506;2698388;in-person;a4fa2f3331564b23a284dad1e077f08a;2021-02-05T15:11:03+01:00;-;deltager;NA
3661506;2699605;in-person;b81c0c7fc4a4af976f1c5d9a3056f458;2021-02-06T10:42:16+01:00;-;deltager;NA
3661506;2699622;in-person;9a6d33e84908bc0ff26d680fd4f4da34;2021-02-06T11:00:23+01:00;-;deltager;NA
3661506;2699936;in-person;d6477abac6ba893cfa281af36e7f5f1a;2021-02-06T16:07:53+01:00;-;deltager;NA
3661506;2701949;in-person;4ef9911487423aa6aab38216dd6a998d;2021-02-06T14:21:27+01:00;-;deltager;NA
3661506;2701982;in-person;f8d8b81b4023a35bf2e25536db3c49f3;2021-02-08T09:24:28+01:00;-;deltager;NA
3661506;2703549;in-person;071059517d8e0da6c5b77e00fe3a3a7c;2021-02-08T13:52:09+01:00;-;deltager;NA
3676276;2649836;in-person;8bdff401d356a460468ed339cdcd727d;2021-01-19T16:04:31+01:00;-;deltager;NA
3676276;2658959;in-person;2789306a588fe1f26131d5c54ef0a955;2021-01-22T15:54:16+01:00;-;deltager;NA
3676276;2659279;in-person;66930ecd9ce602ec5e09b78e4eaac2b0;2021-01-22T17:47:46+01:00;-;deltager;NA
3676276;2668047;in-person;2d8228930a9aef524eff0f00f06aad98;2021-01-26T14:17:05+01:00;-;deltager;NA
3676276;2670957;in-person;b03dae623550c6b25cb9697781ca8704;2021-01-27T10:58:09+01:00;-;deltager;NA
3676276;2672919;in-person;b6d44620f0e0d7e81a888bf913b7dca3;2021-01-27T15:52:22+01:00;-;deltager;NA
3676276;2678883;in-person;2a29a33dae69490ae358e8cc0c737e36;2021-01-29T01:15:56+01:00;-;deltager;NA
3676276;2683254;in-person;b4b98116f29dc0c44dda6eeec43c84aa;2021-01-31T13:32:21+01:00;-;deltager;NA
3676276;2683972;in-person;48f843f68a49779cabfab577f005d837;2021-01-31T22:01:00+01:00;-;deltager;NA
3676276;2699652;in-person;2261ed5f3f4112432faecaa794995bd4;2021-02-06T11:39:09+01:00;-;deltager;NA
3676276;2707081;in-person;071059517d8e0da6c5b77e00fe3a3a7c;2021-02-09T12:51:41+01:00;-;deltager;NA
3676276;2718090;in-person;be2bb6d94d0f8818228fcac4a4426adf;2021-02-12T15:47:11+01:00;-;deltager;NA
3676276;2719443;in-person;c4269057d0e2e2f11a64ad30f4214d8c;2021-02-13T15:17:05+01:00;-;deltager;NA
3676276;2720015;in-person;1eab2514144295b36e96d6d38764065d;2021-02-14T11:34:38+01:00;-;deltager;NA
3676276;2721334;in-person;18fa0dd225f0b77466f381f09b9aa341;2021-02-15T09:30:51+01:00;-;deltager;NA
3676276;2721549;in-person;1b3dbc28135d5ac08a37647407554e23;2021-02-15T10:33:30+01:00;-;deltager;NA
3676276;2722246;in-person;7e060a03c16d3a27b8f52314425ab16d;2021-02-15T12:27:41+01:00;-;deltager;NA
3676276;2725096;in-person;0d2e7891cb215d7782587b179b18f115;2021-02-16T10:38:28+01:00;-;deltager;NA
3676276;2726543;in-person;b556bc21bea70a2b7eea5b6b18517410;2021-02-16T15:11:20+01:00;-;deltager;NA
3676276;2727402;in-person;a4759180f3bae441e1e0a3f10a4b7ec0;2021-02-16T18:22:55+01:00;-;deltager;NA
3676276;2728187;in-person;b713c383029b25bc52f4f73a055bf1f3;2021-02-17T06:40:42+01:00;-;deltager;NA
