"";"id";"title";"allday";"start";"end";"description";"url_public";"url_admin";"location_id";"location_type";"location_name";"campus_id";"campus_name";"campus_1";"category_id";"category_name";"owner_id";"owner_name";"presenter";"calendar_id";"calendar_name";"calendar_public";"calendar_admin";"registration";"color";"featured_image";"more_info";"setup_time";"teardown_time";"has_registration_opened";"has_registration_closed";"physical_seats";"physical_seats_taken";"online_seats";"online_seats_taken";"seats_taken";"wait_list"
"67";3864128;"R for Absolute Beginners - The Social Science Version";FALSE;"2022-03-28T10:00:00+02:00";"2022-03-28T12:30:00+02:00";"<p>R is a general programming language, especially suited for statistical analysis and cleaning and visualization of data.</p>

<p>We assume absolutely no previous experience with programming, and will cover the basics of getting started with R, including:</p>

<ul>
	<li>Navigating in RStudio, and how to interact with R</li>
	<li>Datatypes, variables and objects</li>
	<li>Simple arithmetic and logical operations on data</li>
	<li>Working with functions - and how to write a very simple function ourself</li>
	<li>Import data into R</li>
	<li>Summary statistics&nbsp;</li>
	<li>Manipulating data frames</li>
	<li>And how to make a couple of the common graphs, that are as useful as they are elementary.</li>
</ul>

<p>In preparation for the course, we recommend that you either download and install R and RStudio, or register for an account at <a href=""https://rstudio.cloud/"" target=""_blank"">rstudio.cloud</a>. Instructions on this can be found <a href=""https://kubdatalab.github.io/beginning-R/setup.html"">here</a>, where you will also find the course notes, additional material and exercises.</p>
