filename;year;kursus_id;file_id;tilm_type;Event;Location;Campus;Seats;gruppe;online;from;To;dato
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330867_20250217122739.csv;2025;4330867;20250217122739;tilmeldt;Python for Absolute Beginners pt. 1;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;25;python;FALSE;9:30;12:30;2025-02-05
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330869_20250227090853.csv;2025;4330869;20250227090853;tilmeldt;Python for Absolute Beginners pt. 2;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;25;python;FALSE;9:00;12:30;2025-02-19
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330871_20250603112029.csv;2025;4330871;20250603112029;tilmeldt;Python for Absolute Beginners pt. 2;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;25;python;FALSE;9:00;12:30;2025-03-11
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330873_20250603112015.csv;2025;4330873;20250603112015;tilmeldt;Python and Pandas - Getting Started with Data Analysis;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;25;python;FALSE;9:30;12:30;2025-03-19
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330874_20250506114757.csv;2025;4330874;20250506114757;tilmeldt;Python and Pandas - Getting Started with Data Analysis;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;25;python;FALSE;9:30;12:30;2025-04-24
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330875_20250407095312.csv;2025;4330875;20250407095312;tilmeldt;Python for Absolute Beginners pt. 1;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;25;python;FALSE;9:30;12:30;2025-04-03
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330876_20250603111934.csv;2025;4330876;20250603111934;tilmeldt;Python for Absolute Beginners pt. 2;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;25;python;FALSE;9:00;12:30;2025-04-10
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4332088_20250603111443.csv;2025;4332088;20250603111443;tilmeldt;"Orange; Data Mining for Beginners";KUB Datalab - Sdr Campus;KUB Søndre Campus, Karen Blixens Plads 7, 2300 Kbh. S;12;orange;FALSE;9:30;11:30;2025-02-28
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4339810_20250603112042.csv;2025;4339810;20250603112042;tilmeldt;Introduction to programming with Python I;Library Lighthouse, zone 1;KUB Nørre Campus, Nørre Allé 49, 2200 København N;22;python;FALSE;13:00;15:30;2025-03-06
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4339816_20250603112024.csv;2025;4339816;20250603112024;tilmeldt;Introduction to programming with Python II;Library Lighthouse, zone 1;NA;22;python;FALSE;13:00;15:30;2025-03-13
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4351517_20250407095213.csv;2025;4351517;20250407095213;tilmeldt;From digital photos to 3D models - photogrammetry with Metashape;KUB Datalab - Sdr Campus;KUB Søndre Campus, Karen Blixens Plads 7, 2300 Kbh. S;12;NA;FALSE;10:00;12:00;2025-03-25
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4351518_20250506114814.csv;2025;4351518;20250506114814;tilmeldt;From digital photos to 3D models - photogrammetry with Metashape;KUB Datalab - Sdr Campus;KUB Søndre Campus, Karen Blixens Plads 7, 2300 Kbh. S;12;NA;FALSE;10:00;12:00;2025-04-25
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4364172_20250407095259.csv;2025;4364172;20250407095259;tilmeldt;Python for Absolute Beginners pt. 1;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;25;python;FALSE;12:00;15:00;2025-04-01
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4364173_20250506114716.csv;2025;4364173;20250506114716;tilmeldt;Python for Absolute Beginners pt. 2;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;25;python;FALSE;12:00;15:30;2025-04-22
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4369206_20250506114833.csv;2025;4369206;20250506114833;tilmeldt;NVivo - refresher for anthropology master students;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;22;nvivo;FALSE;13:30;15:30;2025-04-29
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_wait_list_4330870_20250306111809.csv;2025;4330870;20250306111809;venteliste;Python for Absolute Beginners pt. 1;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;25;python;FALSE;9:30;12:30;2025-02-25
